nama_daerah,AHHL,AHHP,HLS,IPM,PPM
Jembrana,70.5,74.3,13.05,74.6,4.51
Jeneponto,64.47,68.42,12.14,66.38,11.82
Jepara,74.11,77.89,12.86,74.32,6.09
Jombang,70.53,74.34,13.61,75.1,8.6
KALIMANTAN BARAT,68.87,72.74,12.68,70.13,6.32
KALIMANTAN SELATAN,66.97,70.79,12.87,73.03,4.11
KALIMANTAN TENGAH,67.89,71.72,12.77,72.73,5.17
KALIMANTAN TIMUR,72.79,76.51,14.03,78.83,5.78
KALIMANTAN UTARA,70.69,74.48,13.21,73.02,6.32
KEP. BANGKA BELITUNG,68.86,72.7,12.49,73.33,4.55
KEPULAUAN RIAU,68.24,72.07,13.27,77.97,5.37
Kaimana,63.06,66.81,12.51,67.6,14.41
Kampar,68.81,72.75,13.61,74.85,6.92
Kapuas,66.76,70.7,13.01,71.32,5.25
Kapuas Hulu,70.63,74.34,12.23,68.58,7.4
Karanganyar,75.81,79.43,13.73,78.11,9.59
Karawang,70.5,74.21,12.21,72.9,7.86
Karimun,69.11,73.02,12.62,74.28,5.78
Karo,69.55,73.46,13.26,76.55,7.37
Katingan,63.84,67.76,12.99,70.7,5.26
Kaur,64.83,68.63,13.15,68.98,17.12
Kayong Utara,66.12,70.5,12.2,65.74,8.84
Kebumen,71.65,75.41,13.39,71.93,15.71
Kediri,70.69,74.48,13.63,74.44,9.95
Keerom,64.6,68.69,12.52,68.68,15.84
Kendal,72.64,76.34,13,74.34,9.35
Kepahiang,66.13,70.02,13.16,70.27,12.9
Kepulauan Anambas,65.35,69.27,13.06,70.93,6.67
Kepulauan Aru,61.01,64.77,12.37,65.83,23.39
Kepulauan Mentawai,62.72,66.6,12.91,63.99,13.89
Kepulauan Meranti,65.77,69.69,12.87,67.92,23.15
Kepulauan Sangihe,68.15,72.07,12.61,72.71,10.84
Kepulauan Selayar,66.49,70.43,12.84,70.03,10.79
Kepulauan Sula,61.45,65.23,12.98,65.99,7.96
Kepulauan Talaud,68.22,72.12,12.67,71.77,8.17
Kepulauan Yapen,67.04,71.1,12.82,69.65,25.69
Kerinci,68.04,71.96,13.92,73.11,6.93
Ketapang,69.05,73.05,11.97,69.42,8.5
Klaten,75.1,78.8,13.43,78.16,12.04
Klungkung,69.44,73.27,13.13,74.04,5.3
Kolaka,69.09,73.32,13.04,75.18,11.67
Kolaka Timur,70.75,74.89,12.71,70.27,13.71
Kolaka Utara,68.29,72.46,12.22,71.7,13.51
Konawe,68.19,72.4,13.05,73.39,13.25
Konawe Kepulauan,66.3,70.56,12.55,67.99,15.54
Konawe Selatan,68.74,72.97,12.79,71.19,11.2
Konawe Utara,67.3,71.66,13.13,72.32,13.17
Kota Ambon,68.64,72.52,16.08,82.56,5.13
Kota Balikpapan,72.86,76.55,14.25,82.24,2.23
Kota Banda Aceh,69.56,73.38,17.94,87.17,6.95
Kota Bandar Lampung,69.42,73.25,14.73,79.19,7.37
Kota Bandung,72.71,76.16,14.25,83.52,3.87
Kota Banjar,69.31,73.08,13.28,73.64,5.85
Kota Banjar Baru,70.19,73.96,14.86,80.51,3.79
Kota Banjarmasin,69.4,73.2,14.01,79.05,4.58
Kota Batam,71.41,75.21,13.56,82.86,4.85
Kota Batu,70.66,74.54,14.58,78.79,3.06
Kota Baubau,69.12,73.37,15.53,78.13,7.4
Kota Bekasi,73.48,76.89,14.14,83.54,4.01
Kota Bengkulu,68.28,72.11,16.07,82.04,13.76
Kota Bima,68.57,72.4,15.08,78.04,8.12
Kota Binjai,70.54,74.32,14.18,78.1,4.75
Kota Bitung,69.1,72.98,12.67,75.71,6.27
Kota Blitar,71.95,75.65,14.81,81.27,6.75
Kota Bogor,72.02,75.65,13.51,78.52,6.53
Kota Bontang,72.63,76.27,13.73,82.42,3.74
Kota Bukittinggi,72.66,76.3,15.28,82.51,4.08
Kota Cilegon,64.68,68.61,13.23,75.14,3.75
Kota Cimahi,72.45,75.96,13.85,80.08,4.39
Kota Cirebon,70.61,74.31,13.17,77.08,9.02
Kota Denpasar,73.08,76.68,14.13,85.22,2.59
Kota Depok,72.87,76.6,14.11,82.91,2.34
Kota Dumai,68.98,72.88,13.35,76.19,3.14
Kota Gorontalo,70.66,74.38,14.59,79.18,5.74
Kota Gunungsitoli,69.34,73.2,13.79,71.41,14.72
Kota Jakarta Barat,71.82,75.49,13.14,83.64,3.94
Kota Jakarta Pusat,72.3,76,13.31,83.01,4.63
Kota Jakarta Selatan,72.33,76.12,13.94,86.94,3.03
Kota Jakarta Timur,72.7,76.27,14.07,84.65,4.09
Kota Jakarta Utara,71.44,75.22,12.7,81.39,6.44
Kota Jambi,70.82,74.58,15.55,81.04,7.73
Kota Jayapura,68.45,72.46,15.27,81.67,10.72
Kota Kediri,72.11,75.88,15.71,81.35,6.51
Kota Kendari,71.81,75.86,16.92,85.33,4.23
Kota Kotamobagu,68.59,72.48,13.05,75.27,5.12
Kota Kupang,67.77,71.59,16.54,81.08,8.24
Kota Langsa,67.42,71.35,15.71,78.81,10.33
Kota Lhokseumawe,69.7,73.52,15.55,79.55,10.44
Kota Lubuklinggau,67.26,71.31,13.69,76.82,11.14
Kota Madiun,70.89,74.69,14.54,83.48,4.38
